id,title,rating,uri,年份,地区,类型,主演
36131988,招魂4：终章,6.2,douban://douban.com/movie/36131988,2025,英国 美国,惊悚,迈克尔·查维斯
36131988,招魂4：终章,6.2,douban://douban.com/movie/36131988,2025,英国 美国,恐怖,迈克尔·查维斯
37517140,藤本树 17-26,8.3,douban://douban.com/movie/37517140,2025,日本,剧情,长屋诚志郎 木村延景 武内宣之 安藤尚也 渡边彻明 寺泽和晃 本间修
37517140,藤本树 17-26,8.3,douban://douban.com/movie/37517140,2025,日本,科幻,长屋诚志郎 木村延景 武内宣之 安藤尚也 渡边彻明 寺泽和晃 本间修
37517140,藤本树 17-26,8.3,douban://douban.com/movie/37517140,2025,日本,动画,长屋诚志郎 木村延景 武内宣之 安藤尚也 渡边彻明 寺泽和晃 本间修
37517140,藤本树 17-26,8.3,douban://douban.com/movie/37517140,2025,日本,奇幻,长屋诚志郎 木村延景 武内宣之 安藤尚也 渡边彻明 寺泽和晃 本间修
35515145,全知读者视角,6.3,douban://douban.com/movie/35515145,2025,韩国,剧情,金秉祐
35515145,全知读者视角,6.3,douban://douban.com/movie/35515145,2025,韩国,动作,金秉祐
35515145,全知读者视角,6.3,douban://douban.com/movie/35515145,2025,韩国,奇幻,金秉祐
35515145,全知读者视角,6.3,douban://douban.com/movie/35515145,2025,韩国,冒险,金秉祐
36302240,楚门之鼠,7.5,douban://douban.com/movie/36302240,2025,西班牙,喜剧,阿尔贝托·巴斯克斯
36302240,楚门之鼠,7.5,douban://douban.com/movie/36302240,2025,西班牙,动画,阿尔贝托·巴斯克斯
36144741,惊变28年,5.6,douban://douban.com/movie/36144741,2025,英国 美国,科幻,丹尼·博伊尔
36144741,惊变28年,5.6,douban://douban.com/movie/36144741,2025,英国 美国,惊悚,丹尼·博伊尔
36144741,惊变28年,5.6,douban://douban.com/movie/36144741,2025,英国 美国,恐怖,丹尼·博伊尔
36885941,后座,6.7,douban://douban.com/movie/36885941,2025,英国 爱尔兰,爱情,哈利·莱顿
36885941,后座,6.7,douban://douban.com/movie/36885941,2025,英国 爱尔兰,同性,哈利·莱顿
36148716,有用的鬼,7.0,douban://douban.com/movie/36148716,2025,泰国 新加坡 德国 法国,剧情,林金伟
36148716,有用的鬼,7.0,douban://douban.com/movie/36148716,2025,泰国 新加坡 德国 法国,喜剧,林金伟
36148716,有用的鬼,7.0,douban://douban.com/movie/36148716,2025,泰国 新加坡 德国 法国,惊悚,林金伟
36148716,有用的鬼,7.0,douban://douban.com/movie/36148716,2025,泰国 新加坡 德国 法国,恐怖,林金伟
36148716,有用的鬼,7.0,douban://douban.com/movie/36148716,2025,泰国 新加坡 德国 法国,奇幻,林金伟
37227058,奇南客栈,7.6,douban://douban.com/movie/37227058,2025,越南,剧情,黎光
37227058,奇南客栈,7.6,douban://douban.com/movie/37227058,2025,越南,爱情,黎光
36642287,火烧天堂镇,7.2,douban://douban.com/movie/36642287,2025,美国,剧情,保罗·格林格拉斯
36642287,火烧天堂镇,7.2,douban://douban.com/movie/36642287,2025,美国,传记,保罗·格林格拉斯
36932394,全信没收,6.6,douban://douban.com/movie/36932394,2026,美国,剧情,乔·卡纳汉
36932394,全信没收,6.6,douban://douban.com/movie/36932394,2026,美国,动作,乔·卡纳汉
36932394,全信没收,6.6,douban://douban.com/movie/36932394,2026,美国,悬疑,乔·卡纳汉
36932394,全信没收,6.6,douban://douban.com/movie/36932394,2026,美国,惊悚,乔·卡纳汉
36932394,全信没收,6.6,douban://douban.com/movie/36932394,2026,美国,犯罪,乔·卡纳汉
36453674,物质主义者,6.0,douban://douban.com/movie/36453674,2025,美国 芬兰,喜剧,席琳·宋
36453674,物质主义者,6.0,douban://douban.com/movie/36453674,2025,美国 芬兰,爱情,席琳·宋
35483395,戏台,7.9,douban://douban.com/movie/35483395,2025,中国大陆 中国香港,剧情,陈佩斯
35483395,戏台,7.9,douban://douban.com/movie/35483395,2025,中国大陆 中国香港,喜剧,陈佩斯
37309928,铁血战士：杀戮之王,7.8,douban://douban.com/movie/37309928,2025,美国,动作,丹·特拉亨伯格 约书亚·瓦松
37309928,铁血战士：杀戮之王,7.8,douban://douban.com/movie/37309928,2025,美国,科幻,丹·特拉亨伯格 约书亚·瓦松
37309928,铁血战士：杀戮之王,7.8,douban://douban.com/movie/37309928,2025,美国,动画,丹·特拉亨伯格 约书亚·瓦松
37309928,铁血战士：杀戮之王,7.8,douban://douban.com/movie/37309928,2025,美国,惊悚,丹·特拉亨伯格 约书亚·瓦松
37309928,铁血战士：杀戮之王,7.8,douban://douban.com/movie/37309928,2025,美国,冒险,丹·特拉亨伯格 约书亚·瓦松
37161026,蜡笔小新：灼热的春日部舞者们,7.3,douban://douban.com/movie/37161026,2025,日本,喜剧,桥本昌和
37161026,蜡笔小新：灼热的春日部舞者们,7.3,douban://douban.com/movie/37161026,2025,日本,动画,桥本昌和
37161026,蜡笔小新：灼热的春日部舞者们,7.3,douban://douban.com/movie/37161026,2025,日本,音乐,桥本昌和
37161026,蜡笔小新：灼热的春日部舞者们,7.3,douban://douban.com/movie/37161026,2025,日本,家庭,桥本昌和
30433456,碟中谍8：最终清算,7.6,douban://douban.com/movie/30433456,2025,美国,动作,克里斯托弗·麦奎里
30433456,碟中谍8：最终清算,7.6,douban://douban.com/movie/30433456,2025,美国,惊悚,克里斯托弗·麦奎里
30433456,碟中谍8：最终清算,7.6,douban://douban.com/movie/30433456,2025,美国,冒险,克里斯托弗·麦奎里
37014022,新狂蟒之灾,5.1,douban://douban.com/movie/37014022,2025,美国,喜剧,汤姆·戈米肯
37014022,新狂蟒之灾,5.1,douban://douban.com/movie/37014022,2025,美国,动作,汤姆·戈米肯
37014022,新狂蟒之灾,5.1,douban://douban.com/movie/37014022,2025,美国,冒险,汤姆·戈米肯
36402017,毕正明的证明,7.2,douban://douban.com/movie/36402017,2025,中国大陆,剧情,佟志坚
36402017,毕正明的证明,7.2,douban://douban.com/movie/36402017,2025,中国大陆,犯罪,佟志坚
